CustCode,CustName,VouchDate,Voucher,ReffNo,,Debit,,Credit,,Balance,,,,
,,3/1/2019,PI010551,IN1903006,,"41,195.00",,0,,"41,195.00",,,,
,,3/28/2019,PI010641,IN1903034,,"2,318.75",,0,,"2,318.75",,,,
,,4/1/2019,PI010650,IN1904009,,"1,605.00",,0,,"1,605.00",,,,
,,4/1/2019,PI010651,IN1904010,,"41,195.00",,0,,"41,195.00",,,,
,,4/25/2019,PI010745,IN1904041,,"2,613.59",,0,,"2,613.59",,,,
,,5/2/2019,PI010749,IN1905006,,"1,605.00",,0,,"1,605.00",,,,
,,5/2/2019,PI010750,IN1905007,,"41,195.00",,0,,"41,195.00",,,,
,,5/28/2019,PI010817,IN1905018,,"2,771.88",,0,,"2,771.88",,,,
,,6/3/2019,PI010885,IN1906006,,"1,070.00",,0,,"1,070.00",,,,
,,6/3/2019,PI010886,IN1906007,,"41,195.00",,0,,"41,195.00",,,,
,,6/26/2019,PI010910,IN1906026,,178.34,,0,,178.34,,,,
,,6/26/2019,PI010911,IN1906027,,"2,992.42",,0,,"2,992.42",,,,
,,7/1/2019,PI011066,IN1907005,,"1,605.00",,0,,"1,605.00",,,,
,,7/1/2019,PI011067,IN1907006,,"41,195.00",,0,,"41,195.00",,,,
,,7/11/2019,PI011068,IN1907010,,"7,169.00",,0,,"7,169.00",,,,
,,7/26/2019,PI011069,IN1907035,,"2,792.32",,0,,"2,792.32",,,,
,,8/1/2019,PI011105,IN1908005,,"2,079.60",,0,,"2,079.60",,,,
,,8/1/2019,PI011106,IN1908006,,"41,195.00",,0,,"41,195.00",,,,
,,8/30/2019,PI011155,IN1908017,,706.08,,0,,706.08,,,,
,,9/1/2019,PI011152,IN1909006,,"1,872.50",,0,,"1,872.50",,,,
,,9/1/2019,PI011153,IN1909007,,"41,195.00",,0,,"41,195.00",,,,
,,9/25/2019,PI011236,IN1909016,,"3,108.66",,0,,"3,108.66",,,,
,,10/1/2019,PI011287,IN1910006,,"2,184.59",,0,,"2,184.59",,,,
,,10/1/2019,PI011288,IN1910007,,"41,195.00",,0,,"41,195.00",,,,
,,10/24/2019,PI011364,IN19100039,,"3,559.45",,0,,"3,559.45",,,,
,,11/1/2019,PI011448,IN1911006,,"2,656.87",,0,,"2,656.87",,,,
,,11/1/2019,PI011449,IN1911007,,"41,195.00",,0,,"41,195.00",,,,
,,12/2/2019,PI011453,IN1912006,,"2,675.00",,0,,"2,675.00",,,,
